latitude;longitude;altitude;;;;
54.5770766667,;-1.2366533333,;85;;;;
54.5770633333,;-1.2366533333,;85;;;;
54.5770516667,;-1.2366533333,;85;;;;
54.57704,;-1.2366616667,;85;;;;
54.5770233333,;-1.2366716667,;85;;;;
54.577005,;-1.2366783333,;85;;;;
54.5769783333,;-1.2366883333,;85;;;;
54.5769616667,;-1.2366866667,;84;;;;
54.5769516667,;-1.2366816667,;83;;;;
54.5769333333,;-1.23667,;83;;;;
54.5768983333,;-1.23667,;83;;;;
54.5768866667,;-1.2366733333,;82;;;;
54.5768666667,;-1.2366933333,;82;;;;
54.576845,;-1.2367083333,;83;;;;
54.5768183333,;-1.236715,;84;;;;
54.5767966667,;-1.236705,;84;;;;
54.5767766667,;-1.2366916667,;85;;;;
54.5767,;-1.236725,;84;;;;
54.5766666667,;-1.2367366667,;84;;;;
54.57664,;-1.23675,;83;;;;
54.576615,;-1.2367633333,;83;;;;
54.5765916667,;-1.2367716667,;83;;;;
54.576565,;-1.2367816667,;83;;;;
54.5765383333,;-1.23679,;83;;;;
54.576515,;-1.2368033333,;83;;;;
54.5764883333,;-1.2368183333,;83;;;;
54.57646,;-1.2368383333,;83;;;;
54.5764083333,;-1.23688,;83;;;;
54.5763883333,;-1.2368966667,;82;;;;
54.5763616667,;-1.2369,;82;;;;
54.5763366667,;-1.2369,;82;;;;
54.5763116667,;-1.2369,;82;;;;
54.5762883333,;-1.2368983333,;82;;;;
54.5762683333,;-1.236895,;82;;;;
54.576245,;-1.2368916667,;81;;;;
54.576225,;-1.2368916667,;81;;;;
54.5762083333,;-1.2368983333,;81;;;;
54.57619,;-1.2369083333,;82;;;;
54.57617,;-1.236915,;82;;;;
54.57615,;-1.2369216667,;82;;;;
54.5761266667,;-1.236935,;82;;;;
54.5760983333,;-1.2369416667,;83;;;;
54.5760733333,;-1.23696,;84;;;;
54.5760416667,;-1.2369833333,;84;;;;
54.5760083333,;-1.2370183333,;84;;;;
54.575975,;-1.2370433333,;84;;;;
54.5759433333,;-1.2370683333,;84;;;;
54.57591,;-1.2370866667,;84;;;;
